ID,Customer_Id,Invoice_Id,Job_Id,Type,Date,Amount,Taxable,Void,Reference
110259,17821,82647,,INV,2003-05-30 00:00:00,11.29,False,False,
110260,17821,82769,,INV,2003-06-13 00:00:00,377.78,False,False,
110261,17821,82823,,INV,2003-06-04 00:00:00,24.56,False,False,
110262,17821,82881,,INV,2003-06-06 00:00:00,125.06,False,False,
110263,17821,82999,,INV,2003-06-10 00:00:00,331.8,False,False,
110264,17821,83036,,INV,2003-06-11 00:00:00,78.94,False,False,
110265,17821,82715,,INV,2003-06-02 00:00:00,58.27,False,False,
110266,15015,83336,,INV,2003-06-18 00:00:00,77.49,False,False,
110267,27515,82503,,INV,2003-05-27 00:00:00,1494.02,True,False,
110268,27515,82853,,INV,2003-06-05 00:00:00,377.36,True,False,
110269,30015,82529,,INV,2003-05-28 00:00:00,1215.79,True,False,
110270,30015,82965,,INV,2003-06-09 00:00:00,61.48,True,False,
110271,30015,83324,,INV,2003-06-18 00:00:00,582.67,True,False,
110272,30015,83323,,INV,2003-06-18 00:00:00,737.76,True,False,
110273,30015,83382,,INV,2003-06-19 00:00:00,36.36,True,False,
110274,36015,,,PMT,2003-06-28 00:00:00,2251,False,False,
110275,36015,83389,,INV,2003-06-19 00:00:00,554,False,False,
110276,40115,82587,,INV,2003-05-29 00:00:00,16.65,True,False,
110277,40115,83155,,INV,2003-06-13 00:00:00,14.1,True,False,
110278,55015,82547,,INV,2003-05-28 00:00:00,397.77,True,False,
110279,55015,82611,,INV,2003-05-30 00:00:00,444.56,True,False,
110280,55015,82839,,INV,2003-06-05 00:00:00,515.16,True,False,
110281,55015,24554,,INV,2003-06-06 00:00:00,440.78,True,False,
110282,55015,83077,,INV,2003-06-11 00:00:00,320.2,True,False,
110283,55015,83122,,INV,2003-06-12 00:00:00,400.98,True,False,
110284,55015,83107,,INV,2003-06-12 00:00:00,2653.18,True,False,
110285,55015,83321,,INV,2003-06-18 00:00:00,91.17,True,False,
110286,55015,24923,,INV,2003-06-20 00:00:00,135.47,True,False,
110287,2516,82593,,INV,2003-05-29 00:00:00,162.75,True,False,
110288,2516,24544,,INV,2003-06-03 00:00:00,695.25,True,False,
110289,2516,83260,,INV,2003-06-17 00:00:00,27.43,True,False,
110290,2516,83520,,INV,2003-06-23 00:00:00,9.05,True,False,
110291,10016,82671,,INV,2003-05-31 00:00:00,44.52,True,False,
110292,10016,82977,,INV,2003-06-09 00:00:00,181.79,True,False,
110293,10016,82985,,INV,2003-06-10 00:00:00,40.76,True,False,
110294,10016,83026,,INV,2003-06-11 00:00:00,39.01,True,False,
110295,10016,83027,,INV,2003-06-11 00:00:00,28.83,True,False,
110296,10016,83225,,INV,2003-06-16 00:00:00,12.72,True,False,
110297,10016,83139,,INV,2003-06-13 00:00:00,53.53,True,False,
110298,10016,83394,,INV,2003-06-19 00:00:00,17.49,True,False,
110299,10016,83397,,INV,2003-06-20 00:00:00,9.16,True,False,
110300,10016,83599,,INV,2003-06-25 00:00:00,16.11,True,False,
110301,55016,83105,,INV,2003-06-12 00:00:00,11.19,False,False,
110302,42517,82473,,INV,2003-05-27 00:00:00,708.93,True,False,
110303,42517,83543,,INV,2003-06-24 00:00:00,276.09,True,False,
110304,42517,82642,,INV,2003-05-30 00:00:00,62.39,True,False,
110305,42517,24553,,INV,2003-06-05 00:00:00,79.65,True,False,
110306,42517,83102,,INV,2003-06-12 00:00:00,564.57,True,False,
110307,42517,83218,,INV,2003-06-16 00:00:00,31.8,True,False,
110308,42517,83369,,INV,2003-06-19 00:00:00,471.77,True,False,
110309,42517,83426,,INV,2003-06-20 00:00:00,72.48,True,False,
110310,42617,83147,,INV,2003-06-13 00:00:00,183.38,True,False,
