ledger_id,customer_id,statement_date,ledger_date,amount,type_id,reference,ledger_order
61783,11411,12/1/2024,11/18/2024,78.9,1,,84200
*61834,4810,12/1/2024,11/25/2024,-2500,3,,84151
61581,55001,12/1/2024,10/26/2024,71.25,2,,84156
61590,55001,12/1/2024,10/28/2024,222,2,,84155
61621,2501,12/1/2024,10/31/2024,188.5,1,,84154
61632,7521,12/1/2024,10/31/2024,-673,3,,84146
61656,55001,12/1/2024,11/4/2024,7312.5,2,,84158
61662,55001,12/1/2024,11/4/2024,516,2,,84157
61666,22810,12/1/2024,11/4/2024,-200,3,,84135
61669,55001,12/1/2024,11/4/2024,615,2,,84159
61672,55001,12/1/2024,11/5/2024,150,2,,84160
61681,55001,12/1/2024,11/5/2024,1508.2,2,,84161
61683,13103,12/1/2024,11/5/2024,-1066.36,3,,84132
61685,96011,12/1/2024,11/5/2024,-501.14,3,,84138
61688,65511,12/1/2024,11/5/2024,-3699.97,3,,84140
61690,55001,12/1/2024,11/6/2024,180,2,,84163
61694,55001,12/1/2024,11/6/2024,66,2,,84164
61695,55001,12/1/2024,11/6/2024,1225,2,,84162
61710,10016,12/1/2024,11/7/2024,-1225.3,3,,84143
61711,18027,12/1/2024,11/7/2024,-139.91,3,,84148
61721,55001,12/1/2024,11/8/2024,2132.5,2,,84165
61745,11502,12/1/2024,11/12/2024,-4500,3,,84130
61749,61507,12/1/2024,11/12/2024,-5011.95,3,,84134
61750,12512,12/1/2024,11/12/2024,-17.17,3,,84139
61751,58217,12/1/2024,11/12/2024,-77.72,3,,84144
61768,2501,12/1/2024,11/15/2024,241.24,1,,84152
61771,19214,12/1/2024,11/15/2024,-2000,3,,84141
61780,66117,12/1/2024,11/11/2024,-979.81,3,,84145
61785,27323,12/1/2024,11/18/2024,-140.75,3,,84147
61789,21811,12/1/2024,11/18/2024,-19.19,3,,84137
61790,40004,12/1/2024,11/18/2024,-7300.87,3,,84133
61791,37510,12/1/2024,11/18/2024,-189.85,3,,84136
61793,2501,12/1/2024,11/19/2024,120.43,1,,84153
61806,28303,12/1/2024,11/19/2024,-154.82,3,,84131
61830,2116,12/1/2024,11/22/2024,-10000,3,45 raccoon,84142
61832,45024,12/1/2024,11/22/2024,-129,3,,84149
61834,4810,12/1/2024,11/25/2024,-3000,3,,84150
61562,84502,12/1/2024,10/25/2024,79.27,1,,84174
61577,11111,12/1/2024,10/26/2024,375.75,1,,84198
61585,2205,12/1/2024,10/28/2024,373.7,1,,84189
61592,84502,12/1/2024,10/28/2024,64.12,1,,84173
61612,22810,12/1/2024,10/30/2024,200,2,,84197
61614,2205,12/1/2024,10/30/2024,260.7,1,,84190
61615,11502,12/1/2024,10/30/2024,409.44,1,,84168
61622,11502,12/1/2024,10/24/2024,328.46,1,,84169
61647,60015,12/1/2024,11/1/2024,1281.63,1,,84176
61664,28204,12/1/2024,11/4/2024,288.31,1,adder,84178
61675,60015,12/1/2024,11/5/2024,436.95,1,,84175
61684,13103,12/1/2024,10/29/2024,250.57,1,,84177
61687,18027,12/1/2024,11/5/2024,49.67,2,,84248
61703,2205,12/1/2024,11/7/2024,88.69,1,,84191
